Terminate!
aid: 3, oid: 4632, r: -1.0
aid: 1, oid: 277, r: -1.0
aid: 3, oid: 4117, r: -11.0
aid: 3, oid: 4117, r: -11.0
aid: 2, oid: 4632, r: -1.0
aid: 1, oid: 16661, r: -1.0
aid: 3, oid: 277, r: -11.0
aid: 0, oid: 277, r: -11.0
aid: 2, oid: 8472, r: -1.0
aid: 3, oid: 3602, r: 9.0
aid: 1, oid: 1554, r: -11.0
aid: 3, oid: 2586, r: 9.0
aid: 0, oid: 1554, r: -51.0
Terminate!
aid: 1, oid: 1301, r: -1.0
aid: 3, oid: 1301, r: -11.0
aid: 1, oid: 1825, r: -1.0
aid: 0, oid: 1825, r: -11.0
aid: 1, oid: 1428, r: -51.0
Terminate!
aid: 1, oid: 277, r: -1.0
aid: 0, oid: 277, r: -11.0
aid: 3, oid: 277, r: -11.0
aid: 3, oid: 277, r: -11.0
aid: 1, oid: 785, r: -1.0
aid: 0, oid: 785, r: -11.0
aid: 1, oid: 16788, r: -1.0
aid: 1, oid: 17169, r: 9.0
aid: 2, oid: 16788, r: -1.0
aid: 2, oid: 17185, r: -1.0
aid: 2, oid: 4117, r: -1.0
aid: 3, oid: 277, r: -61.0
Terminate!
aid: 3, oid: 325, r: -11.0
aid: 1, oid: 293, r: -1.0
aid: 1, oid: 785, r: -1.0
aid: 2, oid: 293, r: -1.0
aid: 2, oid: 325, r: -1.0
aid: 0, oid: 325, r: -11.0
aid: 0, oid: 325, r: -11.0
aid: 2, oid: 833, r: -1.0
aid: 1, oid: 325, r: -1.0
aid: 1, oid: 293, r: -1.0
aid: 2, oid: 325, r: -1.0
aid: 1, oid: 293, r: -1.0
aid: 3, oid: 293, r: -11.0
aid: 3, oid: 293, r: -11.0
aid: 3, oid: 293, r: -11.0
aid: 3, oid: 293, r: -11.0
aid: 1, oid: 785, r: -1.0
aid: 2, oid: 16677, r: -1.0
aid: 3, oid: 16677, r: -11.0
aid: 3, oid: 16677, r: -11.0
aid: 0, oid: 293, r: -61.0
Terminate!
aid: 0, oid: 1301, r: -11.0
aid: 0, oid: 1301, r: -11.0
aid: 1, oid: 1301, r: -1.0
aid: 0, oid: 1301, r: -11.0
aid: 0, oid: 1301, r: -11.0
aid: 3, oid: 16661, r: -11.0
aid: 2, oid: 20501, r: -1.0
aid: 0, oid: 5141, r: -11.0
aid: 3, oid: 20501, r: -11.0
aid: 1, oid: 16661, r: -1.0
aid: 2, oid: 20501, r: -1.0
aid: 3, oid: 1301, r: -61.0
Terminate!
aid: 2, oid: 1809, r: -1.0
aid: 2, oid: 3348, r: -1.0
aid: 3, oid: 3348, r: -11.0
aid: 1, oid: 1809, r: -1.0
aid: 2, oid: 3348, r: -51.0
Terminate!
aid: 0, oid: 293, r: -11.0
aid: 2, oid: 785, r: -1.0
aid: 0, oid: 785, r: -11.0
aid: 2, oid: 2340, r: -1.0
aid: 0, oid: 2090, r: -51.0
Terminate!
aid: 2, oid: 1825, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 0, oid: 1825, r: -1.0
aid: 0, oid: 1825, r: -11.0
aid: 0, oid: 17185, r: -11.0
aid: 1, oid: 16661, r: -1.0
aid: 0, oid: 16661, r: -11.0
aid: 1, oid: 16661, r: -1.0
aid: 3, oid: 16661, r: -61.0
Terminate!
aid: 3, oid: 293, r: -11.0
aid: 2, oid: 801, r: -1.0
aid: 0, oid: 801, r: -11.0
aid: 1, oid: 293, r: -1.0
aid: 2, oid: 801, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 0, oid: 801, r: -1.0
aid: 0, oid: 801, r: -11.0
aid: 0, oid: 801, r: -11.0
aid: 1, oid: 293, r: -1.0
aid: 3, oid: 293, r: -11.0
aid: 1, oid: 277, r: -1.0
aid: 0, oid: 277, r: -11.0
aid: 1, oid: 785, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 2, oid: 538, r: -11.0
aid: 0, oid: 785, r: -1.0
aid: 1, oid: 2324, r: -51.0
Terminate!
aid: 1, oid: 1317, r: -1.0
aid: 2, oid: 1301, r: -1.0
aid: 3, oid: 1301, r: -11.0
aid: 2, oid: 1825, r: -1.0
aid: 1, oid: 1301, r: -1.0
aid: 1, oid: 1317, r: -1.0
aid: 3, oid: 1317, r: -11.0
aid: 1, oid: 21009, r: -1.0
aid: 2, oid: 20517, r: -1.0
aid: 1, oid: 17169, r: -1.0
aid: 3, oid: 538, r: -1.0
aid: 0, oid: 17169, r: -51.0
Terminate!
aid: 3, oid: 21, r: -11.0
aid: 3, oid: 21, r: -11.0
aid: 2, oid: 529, r: -1.0
aid: 1, oid: 21, r: -1.0
aid: 3, oid: 16405, r: -11.0
aid: 2, oid: 4625, r: -51.0
Terminate!
aid: 0, oid: 1317, r: -11.0
